"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","REM","EQD"
"07016099999","2010-06-11T10:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0154,1","+0139,1","99999,9","01,0000,2,1",,,,"99999,9,09970,1","SYN058AAXX  11104 07016 36/// ///// 10154 20139 39970 333 60005;",
"07016099999","2010-06-11T11:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0149,1","+0136,1","99999,9","01,0000,2,1",,,,"99999,9,09976,1","SYN058AAXX  11114 07016 36/// ///// 10149 20136 39976 333 60005;",
"07016099999","2010-06-11T12:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0162,1","+0139,1","99999,9",,,,,"99999,9,09977,1","SYN048AAXX  11124 07016 36/// ///// 10162 20139 39977;",
"07016099999","2010-06-11T13:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0149,1","+0131,1","99999,9","01,0000,2,1",,,,"99999,9,09979,1","SYN058AAXX  11134 07016 36/// ///// 10149 20131 39979 333 60005;",
"07016099999","2010-06-11T14:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0158,1","+0142,1","99999,9","01,0000,2,1",,,,"99999,9,09983,1","SYN058AAXX  11144 07016 36/// ///// 10158 20142 39983 333 60005;",
"07016099999","2010-06-11T15:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0147,1","+0134,1","99999,9","03,0000,9,1",,,,"99999,9,09987,1","SYN068AAXX  11154 07016 36/// ///// 10147 20134 39987 333 60007 555 60005;",
"07016099999","2010-06-11T16:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0144,1","+0133,1","99999,9","01,0000,2,1",,,,"99999,9,09986,1","SYN058AAXX  11164 07016 36/// ///// 10144 20133 39986 333 60005;",
"07016099999","2010-06-11T17:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0146,1","+0131,1","99999,9","01,0000,2,1",,,,"99999,9,09987,1","SYN058AAXX  11174 07016 36/// ///// 10146 20131 39987 333 60005;",
"07016099999","2010-06-11T18:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0145,1","+0130,1","99999,9",,,,"999,M,+0164,1","99999,9,09994,1","SYN068AAXX  11184 07016 36/// ///// 10145 20130 39994 333 10164 555 60005;",
"07016099999","2010-06-11T19:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0140,1","+0129,1","99999,9","01,0000,2,1",,,,"99999,9,09991,1","SYN058AAXX  11194 07016 36/// ///// 10140 20129 39991 333 60005;",
