"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","ED1","GA1","GA2","GA3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"07116599999","1997-11-01T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","060,1,N,0021,1","00750,1,9,N","011265,1,N,1","+0120,1","+0070,1","99999,9","1,999",,"07,1,+00750,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10230,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-02T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","100,1,N,0051,1","99999,9,C,N","005000,1,N,1","+0100,1","+0000,1","99999,9","1,999",,,,,,"10159,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-03T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","100,1,N,0072,1","22000,1,C,N","008000,1,N,1","+0110,1","+0040,1","99999,9","1,999",,"02,1,+03900,9,99,9","02,1,+06900,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10071,1,99999,9",,,"0129,1","MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-04T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0051,1","00150,1,9,N","004000,1,N,1","+0120,1","+0110,1","99999,9","1,999",,"07,1,+00150,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09970,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-04T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0072,1","01200,1,C,N","011265,1,N,1","+0160,1","+0130,1","99999,9","1,999",,"07,1,+01200,9,99,9","07,1,+03900,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09949,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-05T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","210,1,N,0062,1","22000,1,C,N","011265,1,N,1","+0140,1","+0110,1","99999,9","1,999",,"02,1,+00660,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","09939,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-05T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","220,1,N,0051,1","01380,1,9,N","011265,1,N,1","+0140,1","+0110,1","99999,9","1,999",,"02,1,+00390,9,99,9","07,1,+01380,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09909,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-06T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0051,1","00390,1,9,N","011265,1,N,1","+0100,1","+0090,1","99999,9","1,999",,"07,1,+00390,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09861,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-07T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","190,1,N,0041,1","99999,1,C,Y","009900,1,N,1","+0110,1","+0090,1","99999,9","1,999",,,,,,"09909,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-07T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0062,1","01350,1,9,N","011265,1,N,1","+0120,1","+0100,1","99999,9","1,999",,"02,1,+00690,9,99,9","07,1,+01350,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09871,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-08T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","210,1,N,0062,1","99999,1,C,Y","009900,1,N,1","+0120,1","+0080,1","99999,9","1,999",,,,,,"09929,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-08T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0072,1","00300,1,C,N","002000,1,N,1","+0110,1","+0100,1","99999,9","1,999",,"07,1,+00300,9,99,9","07,1,+00540,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09861,2,99999,9","10,1","82,1",,"MET005NEW ;","Q01+029123APOA  "
"07116599999","1997-11-09T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","190,1,N,0062,1","00300,1,C,N","005000,1,N,1","+0090,1","+0070,1","99999,9","1,999",,"07,1,+00300,9,99,9","07,1,+00690,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09841,1,99999,9","65,1",,,"MET005NEW ;",
"07116599999","1997-11-09T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","290,1,N,0108,1","01200,1,9,N","011265,1,N,1","+0110,1","+0060,1","99999,9","1,999",,"07,1,+01200,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09898,1,99999,9",,,"0170,1","MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-10T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0098,1","00690,1,9,N","011265,1,N,1","+0090,1","+0070,1","99999,9","1,999",,"07,1,+00690,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09929,1,99999,9","81,1",,"0159,1","MET005NEW ;",
"07116599999","1997-11-11T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0010,1","22000,1,C,N","011265,1,N,1","+0120,1","+0080,1","99999,9","1,999",,"02,1,+00900,9,99,9","02,1,+06000,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","09929,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-11T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","350,1,N,0021,1","22000,1,C,N","011265,1,N,1","+0100,1","+0080,1","99999,9","1,999",,"07,1,+01200,9,99,9","02,1,+06000,9,99,9",,,"09939,1,99999,9",,,,"MET005NEW ;","Q01+000042SCOTCVQ02+000000PRSWM2"
"07116599999","1997-11-15T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","220,1,N,0051,1","00240,1,9,N","011265,1,N,1","+0160,1","+0150,1","99999,9","1,999",,"08,1,+00240,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10129,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-15T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0062,1","00210,1,9,N","011265,1,N,1","+0160,1","+0150,1","99999,9","1,999",,"08,1,+00210,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-16T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0072,1","02400,1,9,N","011265,1,N,1","+0150,1","+0130,1","99999,9","1,999",,"02,1,+00360,9,99,9","07,1,+02400,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10108,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-16T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","210,1,N,0082,1","00990,1,9,N","011265,1,N,1","+0170,1","+0140,1","99999,9","1,999",,"02,1,+00510,9,99,9","07,1,+00990,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-17T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0062,1","02400,1,9,N","008000,1,N,1","+0140,1","+0130,1","99999,9","1,999",,"02,1,+00630,9,99,9","07,1,+02400,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-18T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","200,1,N,0062,1","00420,1,9,N","011265,1,N,1","+0150,1","+0130,1","99999,9","1,999",,"08,1,+00420,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","09970,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-18T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0072,1","00510,1,C,N","011265,1,N,1","+0150,1","+0120,1","99999,9","1,999",,"07,1,+00510,9,99,9","07,1,+03900,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10010,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-18T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0062,1","22000,1,C,N","011265,1,N,1","+0150,1","+0120,1","99999,9","1,999",,"02,1,+00510,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10010,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-19T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","220,1,N,0072,1","22000,1,C,N","011265,1,N,1","+0140,1","+0110,1","99999,9","1,999",,"02,1,+00540,9,99,9","02,1,+03900,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","09939,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-20T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0062,1","00540,1,9,N","006000,1,N,1","+0090,1","+0080,1","99999,9","1,999",,"07,1,+00540,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09892,1,99999,9","82,1",,,"MET005NEW ;",
"07116599999","1997-11-20T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","260,1,N,0087,1","22000,1,C,N","005000,1,N,1","+0090,1","+0080,1","99999,9","1,999",,"02,1,+00150,9,99,9","02,1,+00360,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","09939,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-21T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0051,1","22000,1,C,N","011265,1,N,1","+0100,1","+0070,1","99999,9","1,999",,"02,1,+00600,9,09,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10041,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-21T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","200,1,N,0031,1","22000,1,C,N","011265,1,N,1","+0080,1","+0060,1","99999,9","1,999",,"02,1,+00600,9,09,9","02,1,+00780,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10041,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-22T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","200,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0070,1","99999,9","1,999",,,,,,"10108,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-22T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","250,1,N,0041,1","22000,1,C,N","011265,1,N,1","+0090,1","+0070,1","99999,9","1,999",,"02,1,+00690,9,99,9","02,1,+06300,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10108,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-23T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0062,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0070,1","99999,9","1,999",,,,,,"10129,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-23T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","150,1,N,0072,1","01800,1,C,N","008000,1,N,1","+0100,1","+0090,1","99999,9","1,999",,"07,1,+01800,9,99,9","07,1,+03300,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10108,1,99999,9","61,1",,,"MET005NEW ;",
"07116599999","1997-11-24T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","150,1,N,0062,1","01800,1,9,N","005000,1,N,1","+0080,1","+0070,1","99999,9","1,999",,"08,1,+01800,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10061,1,99999,9","61,1",,,"MET005NEW ;",
"07116599999","1997-11-24T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","120,1,N,0051,1","99999,1,C,Y","009900,1,N,1","+0100,1","+0060,1","99999,9","1,999",,,,,,"10031,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-24T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","140,1,N,0062,1","99999,1,C,Y","009900,1,N,1","+0100,1","+0040,1","99999,9","1,999",,,,,,"10010,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-25T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","180,1,N,0041,1","00120,1,9,N","011265,1,N,1","+0110,1","+0100,1","99999,9","1,999",,"07,1,+00120,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","09990,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-25T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","160,1,N,0051,1","22000,1,C,N","011265,1,N,1","+0130,1","+0100,1","99999,9","1,999",,"02,1,+00660,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","09980,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-26T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","050,1,N,0021,1","01500,1,9,N","005000,1,N,1","+0100,1","+0090,1","99999,9","1,999",,"02,1,+00600,9,99,9","07,1,+01500,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10010,1,99999,9","53,1",,,"MET005NEW ;",
"07116599999","1997-11-26T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","070,1,N,0021,1","03000,1,9,N","006000,1,N,1","+0110,1","+0110,1","99999,9","1,999",,"02,1,+01200,9,99,9","07,1,+03000,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10020,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-27T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0041,1","22000,1,C,N","008000,1,N,1","+0080,1","+0070,1","99999,9","1,999",,"02,1,+03900,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-11-27T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","210,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0110,1","+0080,1","99999,9","1,999",,,,,,"10091,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-11-28T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","230,1,N,0072,1","00630,1,9,N","004000,1,N,1","+0130,1","+0110,1","99999,9","1,999",,"07,1,+00630,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10031,1,99999,9","80,1",,,"MET005NEW ;",
