"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AW1","AW2","AW3","GA1","GA2","GA3","GE1","GF1","MA1","OC1","REM","EQD"
"07179034051","2020-01-01T00:00:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","110,1,N,0021,1","00366,1,9,N","003300,1,9,9","+0050,1","+0050,1","99999,9",,,,,,"10,1",,,"02,1,+00030,1,99,9","08,1,+00366,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00030,1,99,9,99,9","10320,1,99999,9",,"MET066METAR LFSL 010000Z AUTO 11004KT 3300 BR FEW001 OVC012 05/05 Q1032=",
"07179034051","2020-01-01T00:30:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","999,9,V,0005,1","00335,1,9,N","003900,1,9,9","+0050,1","+0050,1","99999,9",,,,,,"10,1",,,"02,1,+00061,1,99,9","08,1,+00335,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10320,1,99999,9",,"MET066METAR LFSL 010030Z AUTO VRB01KT 3900 BR FEW002 OVC011 05/05 Q1032=",
"07179034051","2020-01-01T01:00:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","110,1,N,0026,1","00030,1,C,N","003300,1,9,9","+0050,1","+0050,1","99999,9",,,,,,"10,1",,,"07,1,+00030,1,99,9","08,1,+00396,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00030,1,99,9,99,9","10320,1,99999,9",,"MET066METAR LFSL 010100Z AUTO 11005KT 3300 BR BKN001 OVC013 05/05 Q1032=",
"07179034051","2020-01-01T01:30:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","100,1,N,0010,1","99999,9,9,N","002300,1,9,9","+0040,1","+0040,1","99999,9",,,,,,"10,1",,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","10320,1,99999,9",,"MET058METAR LFSL 010130Z AUTO 10002KT 2300 BR VV/// 04/04 Q1032=",
"07179034051","2020-01-01T02:00:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","100,1,N,0015,1","00061,1,C,N","004000,1,9,9","+0050,1","+0050,1","99999,9",,,,,,"10,1",,,"08,1,+00061,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,08,1,99,9,00061,1,99,9,99,9","10320,1,99999,9",,"MET059METAR LFSL 010200Z AUTO 10003KT 4000 BR OVC002 05/05 Q1032=",
"07179034051","2020-01-01T02:30:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","110,1,N,0021,1","00030,1,C,N","002600,1,9,9","+0040,1","+0040,1","99999,9",,,,,,"10,1",,,"08,1,+00030,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,08,1,99,9,00030,1,99,9,99,9","10320,1,99999,9",,"MET079METAR LFSL 010230Z AUTO 11004KT 2600 BR OVC001 04/04 Q1032 TEMPO 0500 FG VV///=",
"07179034051","2020-01-01T03:00:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","120,1,N,0021,1","99999,9,9,N","001000,1,9,9","+0040,1","+0040,1","99999,9",,,,,,"10,1",,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","10320,1,99999,9",,"MET082METAR LFSL 010300Z AUTO 12004KT 1000 R29/1200D BR VV/// 04/04 Q1032 TEMPO 0500 FG=",
"07179034051","2020-01-01T03:30:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","120,1,V,0026,1","99999,9,9,N","001300,1,9,9","+0040,5","+0040,5","99999,9",,,,,,"10,5",,,,,,,,"10320,5,99999,9",,"MET095METAR LFSL 010330Z AUTO 12005KT 090V150 1300 1100 R29/1500D BR VV/// 04/04 Q1032 TEMPO 0500 FG=","D01      0ADE735"
"07179034051","2020-01-01T04:00:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","120,1,N,0031,1","99999,9,9,N","001200,1,9,9","+0040,5","+0040,5","99999,9",,,,,,"10,5",,,,,,,,"10310,5,99999,9",,"MET087METAR LFSL 010400Z AUTO 12006KT 1200 1100 R29/1400D BR VV/// 04/04 Q1031 TEMPO 0500 FG=","D01      0ADE735"
"07179034051","2020-01-01T04:30:00","4","48.783","5.983","286.0","TOUL ROSIERES, FR","FM-15","99999","V020","130,1,V,0021,1","99999,9,9,N","001800,1,9,9","+0040,1","+0040,1","99999,9",,,,,,"10,1",,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","10320,1,99999,9",,"MET080METAR LFSL 010430Z AUTO 13004KT 100V160 1800 BR VV/// 04/04 Q1032 TEMPO 0500 FG=",
