"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","AY1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","OC1","REM","EQD"
"07301399999","1990-01-01T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0010,1","00900,1,C,N","011200,1,N,1","+0040,1","+0040,1","99999,9","2,999",,"07,1,+00900,9,05,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T06:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","060,1,N,0021,1","00900,1,C,N","011200,1,N,1","+0040,1","+0040,1","99999,9","2,000",,"07,1,+00900,9,05,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T07:23:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","070,1,N,0010,1","00810,1,C,N","011200,1,N,1","+0040,1","+0040,1","99999,9","2,999",,"07,1,+00810,9,05,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T08:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0010,1","00720,1,C,N","005000,1,N,1","+0050,1","+0050,1","99999,9","2,999",,"07,1,+00720,9,05,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","090,1,N,0010,1","00090,1,C,N","003500,1,N,1","+0050,1","+0050,1","99999,9","2,000",,"08,1,+00090,9,07,9",,,,,"10169,1,99999,9","10,1",,,
"07301399999","1990-01-01T10:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","100,1,N,0021,1","00090,1,C,N","002000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"08,1,+00090,9,07,9",,,,,"10169,1,99999,9","10,1",,,
"07301399999","1990-01-01T11:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0021,1","00120,1,C,N","006000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"08,1,+00120,9,07,9",,,,,"10169,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T11:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","00180,1,C,N","008000,1,N,1","+0090,1","+0080,1","99999,9","2,000",,"07,1,+00180,9,07,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T13:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","170,1,N,0031,1","00150,1,C,N","006000,1,N,1","+0090,1","+0090,1","99999,9","2,999",,"08,1,+00150,9,07,9",,,,,"10159,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-01T14:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","210,1,N,0021,1","00120,1,C,N","004000,1,N,1","+0090,1","+0090,1","99999,9","2,999",,"08,1,+00120,9,07,9",,,,,"10159,1,99999,9","10,1",,,
"07301399999","1990-01-01T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","220,1,N,0021,1","00090,1,C,N","002000,1,N,1","+0090,1","+0090,1","99999,9","2,004",,"08,1,+00090,9,07,9",,,,,"10169,1,99999,9","80,1",,,
"07301399999","1990-01-01T15:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","130,1,N,0021,1","00150,1,C,N","002000,1,N,1","+0090,1","+0090,1","99999,9","2,999",,"07,1,+00150,9,07,9",,,,,"10169,1,99999,9","60,1",,,
"07301399999","1990-01-02T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","050,1,N,0010,1","00900,1,C,N","011200,1,N,1","+0060,1","+0060,1","99999,9","2,999",,"07,1,+00900,9,05,9",,,,,"10210,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-02T06:30:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","040,1,N,0010,1","00990,1,C,N","011200,1,N,1","+0060,1","+0050,1","99999,9","2,999",,"06,1,+00990,9,05,9",,,,,"10210,1,99999,9",,,,"Q01+000000PRSWM2"
